epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,621.181,0.59554,0.29763,0.88402,0.99419,0.99196,0.99495,0.92314,0.42099,0.22572,0.82421,0.000133695,0.000133695,0.000133695
79,628.71,0.59278,0.29718,0.88625,0.99462,0.99171,0.99495,0.91729,0.43047,0.22341,0.82667,0.000123596,0.000123596,0.000123596
80,636.28,0.60491,0.30038,0.88973,0.99459,0.99196,0.99492,0.92169,0.41789,0.22093,0.82193,0.000113873,0.000113873,0.000113873
81,643.45,0.57161,0.28973,0.87701,0.99462,0.99173,0.99495,0.92614,0.41035,0.22007,0.82339,0.000104537,0.000104537,0.000104537
82,651.066,0.59771,0.29759,0.88743,0.99665,0.98928,0.99481,0.91506,0.45019,0.22604,0.82964,9.55951e-05,9.55951e-05,9.55951e-05
83,658.638,0.59026,0.29665,0.87956,0.99697,0.98928,0.99487,0.93013,0.40017,0.2178,0.82214,8.70577e-05,8.70577e-05,8.70577e-05
84,666.051,0.60175,0.29655,0.88314,0.99729,0.98542,0.99468,0.92931,0.4069,0.21873,0.82204,7.89327e-05,7.89327e-05,7.89327e-05
85,674.523,0.60192,0.29612,0.87824,1,0.98858,0.99487,0.924,0.4128,0.21996,0.82311,7.12282e-05,7.12282e-05,7.12282e-05
86,687.407,0.59388,0.29497,0.87608,0.995,0.98391,0.99448,0.92525,0.41709,0.2197,0.82368,6.39518e-05,6.39518e-05,6.39518e-05
87,700.306,0.59734,0.29328,0.8875,0.99729,0.98704,0.99484,0.92707,0.42255,0.21886,0.82413,5.71106e-05,5.71106e-05,5.71106e-05
88,713.288,0.59263,0.29017,0.88087,0.99729,0.98593,0.99458,0.92746,0.41336,0.21725,0.82253,5.07115e-05,5.07115e-05,5.07115e-05
89,726.165,0.58001,0.28941,0.8845,0.99729,0.98573,0.99463,0.93344,0.39303,0.2119,0.81913,4.47606e-05,4.47606e-05,4.47606e-05
90,739.284,0.59518,0.28859,0.89205,0.99395,0.9866,0.9946,0.93775,0.38021,0.20824,0.81785,3.9264e-05,3.9264e-05,3.9264e-05
91,770.972,0.46721,0.23333,0.84328,0.99523,0.98391,0.9945,0.9243,0.40575,0.21446,0.82157,3.4227e-05,3.4227e-05,3.4227e-05
92,781.812,0.4624,0.22912,0.83883,0.9919,0.9843,0.99453,0.9195,0.41713,0.21964,0.82375,2.96546e-05,2.96546e-05,2.96546e-05
93,792.669,0.45706,0.22723,0.84272,0.99144,0.9866,0.99442,0.92791,0.39535,0.21533,0.82111,2.55513e-05,2.55513e-05,2.55513e-05
94,803.785,0.46757,0.2276,0.84312,0.99416,0.98928,0.99464,0.93044,0.38719,0.21633,0.81946,2.19212e-05,2.19212e-05,2.19212e-05
95,814.728,0.45626,0.22544,0.82721,0.99409,0.98928,0.99464,0.92842,0.39712,0.21712,0.82023,1.87678e-05,1.87678e-05,1.87678e-05
96,825.593,0.45447,0.22775,0.84169,0.99419,0.98928,0.99459,0.93033,0.39447,0.21526,0.82003,1.60943e-05,1.60943e-05,1.60943e-05
97,836.375,0.4444,0.21922,0.82813,0.9945,0.98928,0.99459,0.93565,0.38626,0.21417,0.8189,1.39032e-05,1.39032e-05,1.39032e-05
98,847.298,0.45595,0.22183,0.84629,0.99461,0.98896,0.99464,0.93489,0.38932,0.21435,0.81916,1.21968e-05,1.21968e-05,1.21968e-05
99,858.094,0.44833,0.22217,0.84294,0.99411,0.98928,0.99461,0.92978,0.40141,0.2157,0.82051,1.09768e-05,1.09768e-05,1.09768e-05
100,869.187,0.44818,0.22053,0.84509,0.9942,0.98928,0.99469,0.93213,0.4022,0.21485,0.82069,1.02443e-05,1.02443e-05,1.02443e-05
