epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,759.46,0.36742,0.25147,0.83995,0.99461,0.99022,0.99489,0.95644,0.29464,0.19887,0.81145,0.000772877,0.000772877,0.000772877
88,771.814,0.37499,0.25142,0.83255,0.99195,0.99128,0.99481,0.95793,0.27713,0.196,0.80971,0.000752559,0.000752559,0.000752559
89,784.038,0.36432,0.24606,0.83372,0.98933,0.99401,0.99416,0.96074,0.29332,0.1989,0.80994,0.000732349,0.000732349,0.000732349
90,796.493,0.36783,0.24664,0.83986,0.99417,0.98928,0.99427,0.96645,0.28321,0.19573,0.81003,0.000712257,0.000712257,0.000712257
91,809.386,0.35694,0.24168,0.83135,0.99461,0.98896,0.99476,0.966,0.26622,0.19277,0.80698,0.000692292,0.000692292,0.000692292
92,821.714,0.35407,0.23704,0.82506,0.99461,0.99029,0.99473,0.95967,0.28329,0.19244,0.80874,0.000672462,0.000672462,0.000672462
93,833.948,0.36395,0.24546,0.83741,0.99611,0.98928,0.99484,0.95983,0.28883,0.19338,0.80839,0.000652777,0.000652777,0.000652777
94,846.338,0.35786,0.23998,0.82985,0.99462,0.9916,0.99449,0.96061,0.29616,0.1911,0.8106,0.000633244,0.000633244,0.000633244
95,858.563,0.36022,0.24125,0.83078,0.99463,0.99337,0.99486,0.96705,0.27324,0.18504,0.80635,0.000613872,0.000613872,0.000613872
96,866.397,0.3566,0.23709,0.82981,0.99449,0.99464,0.99489,0.9633,0.27784,0.18981,0.80694,0.00059467,0.00059467,0.00059467
97,873.806,0.35215,0.23559,0.8273,0.98904,0.99464,0.99465,0.9624,0.27141,0.18984,0.80623,0.000575646,0.000575646,0.000575646
98,881.138,0.34566,0.23181,0.82693,0.98933,0.99417,0.99456,0.96228,0.27949,0.18919,0.80711,0.000556809,0.000556809,0.000556809
99,888.27,0.35702,0.23154,0.83213,0.99462,0.99194,0.99481,0.9663,0.26109,0.17685,0.80441,0.000538167,0.000538167,0.000538167
100,895.567,0.34473,0.23078,0.82541,0.99164,0.99464,0.99473,0.96918,0.27546,0.18076,0.80674,0.000519728,0.000519728,0.000519728
101,902.922,0.33718,0.22808,0.82105,0.99409,0.9866,0.99473,0.97052,0.2721,0.18007,0.80508,0.0005015,0.0005015,0.0005015
102,910.17,0.34288,0.22851,0.82987,0.99418,0.98928,0.99476,0.968,0.27433,0.17977,0.8049,0.000483491,0.000483491,0.000483491
103,917.259,0.35146,0.23253,0.83735,0.99705,0.9866,0.99473,0.96378,0.27811,0.18415,0.80804,0.000465709,0.000465709,0.000465709
104,924.426,0.34132,0.22646,0.82621,0.99451,0.9866,0.99435,0.97007,0.26516,0.18034,0.80666,0.000448162,0.000448162,0.000448162
105,931.539,0.33876,0.22492,0.82806,0.9893,0.99174,0.99476,0.97036,0.26686,0.18035,0.80623,0.000430857,0.000430857,0.000430857
106,938.838,0.34128,0.22608,0.8253,0.98911,0.99464,0.99478,0.96358,0.28001,0.18022,0.8083,0.000413803,0.000413803,0.000413803
107,945.912,0.33325,0.22174,0.82376,0.99461,0.98881,0.99481,0.9683,0.27174,0.17686,0.80762,0.000397005,0.000397005,0.000397005
108,953.118,0.33683,0.22102,0.82485,0.99445,0.9866,0.99468,0.96669,0.2713,0.17526,0.80739,0.000380473,0.000380473,0.000380473
109,960.433,0.3404,0.22633,0.82941,0.99429,0.9866,0.99459,0.97278,0.25581,0.1754,0.80523,0.000364213,0.000364213,0.000364213
110,967.946,0.34081,0.22299,0.83315,0.99459,0.98504,0.99457,0.96856,0.26319,0.17437,0.80574,0.000348233,0.000348233,0.000348233
111,975.204,0.33652,0.22084,0.83035,0.99198,0.99452,0.99429,0.96682,0.26606,0.17072,0.80648,0.000332539,0.000332539,0.000332539
112,982.329,0.32604,0.21699,0.8253,0.99454,0.99464,0.99465,0.96878,0.26045,0.17148,0.80481,0.000317137,0.000317137,0.000317137
113,989.572,0.33476,0.22134,0.82707,0.99463,0.99404,0.9947,0.97158,0.26835,0.17564,0.80631,0.000302036,0.000302036,0.000302036
114,996.819,0.32946,0.21604,0.8291,0.99462,0.99155,0.99476,0.97119,0.2629,0.17292,0.80473,0.000287242,0.000287242,0.000287242
115,1003.99,0.32766,0.21719,0.82726,0.99462,0.9918,0.99478,0.97104,0.26847,0.17073,0.80572,0.00027276,0.00027276,0.00027276
116,1011.4,0.32659,0.21506,0.82783,0.99287,0.99196,0.9947,0.97237,0.25828,0.16753,0.80403,0.000258598,0.000258598,0.000258598
117,1018.47,0.32614,0.21467,0.82359,0.99198,0.99437,0.99476,0.96811,0.25972,0.16705,0.80445,0.000244762,0.000244762,0.000244762
118,1026.05,0.33191,0.21874,0.82877,0.99462,0.99135,0.99486,0.97118,0.25957,0.16724,0.80382,0.000231257,0.000231257,0.000231257
119,1033.2,0.32112,0.21218,0.81675,0.99462,0.99169,0.99484,0.96852,0.26117,0.16697,0.80414,0.00021809,0.00021809,0.00021809
120,1040.42,0.32656,0.21145,0.81943,0.99441,0.99196,0.99489,0.96389,0.27096,0.17211,0.80581,0.000205267,0.000205267,0.000205267
121,1047.78,0.32285,0.21376,0.82589,0.99425,0.99196,0.99486,0.97057,0.2588,0.16976,0.80447,0.000192792,0.000192792,0.000192792
122,1056.22,0.31837,0.21046,0.81985,0.99437,0.99196,0.99486,0.96887,0.25979,0.16589,0.80426,0.000180672,0.000180672,0.000180672
123,1068.38,0.31501,0.2075,0.82049,0.99441,0.99196,0.99486,0.97083,0.25444,0.1641,0.80361,0.000168912,0.000168912,0.000168912
124,1080.25,0.31286,0.20653,0.82306,0.99462,0.99115,0.99481,0.97185,0.2581,0.16532,0.80457,0.000157516,0.000157516,0.000157516
125,1092.35,0.30468,0.20274,0.82034,0.99144,0.99196,0.99476,0.97187,0.26278,0.16483,0.80524,0.000146491,0.000146491,0.000146491
126,1104.71,0.30888,0.20406,0.8195,0.99442,0.99196,0.99478,0.97156,0.25602,0.1633,0.80379,0.000135841,0.000135841,0.000135841
127,1117.2,0.31011,0.20209,0.82263,0.99452,0.99196,0.99484,0.97011,0.26082,0.16211,0.80495,0.00012557,0.00012557,0.00012557
128,1130.1,0.32044,0.20644,0.82412,0.99461,0.98896,0.99484,0.97232,0.25515,0.16024,0.80388,0.000115683,0.000115683,0.000115683
129,1142.43,0.31058,0.20475,0.81813,0.99462,0.99138,0.99486,0.97175,0.2609,0.16195,0.80465,0.000106184,0.000106184,0.000106184
